threshold,accuracy,precision,recall,f1_score,specificity
0.1,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.0
0.15000000000000002,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.0
0.20000000000000004,0.6065573770491803,0.5789473684210527,1.0,0.7333333333333333,0.14285714285714285
0.25000000000000006,0.639344262295082,0.6,1.0,0.75,0.21428571428571427
0.30000000000000004,0.6885245901639344,0.6346153846153846,1.0,0.7764705882352941,0.32142857142857145
0.3500000000000001,0.7704918032786885,0.7111111111111111,0.9696969696969697,0.8205128205128205,0.5357142857142857
0.40000000000000013,0.7868852459016393,0.7272727272727273,0.9696969696969697,0.8311688311688312,0.5714285714285714
0.45000000000000007,0.819672131147541,0.7619047619047619,0.9696969696969697,0.8533333333333334,0.6428571428571429
0.5000000000000001,0.7868852459016393,0.75,0.9090909090909091,0.821917808219178,0.6428571428571429
0.5500000000000002,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.7142857142857143
0.6000000000000002,0.7704918032786885,0.88,0.6666666666666666,0.7586206896551724,0.8928571428571429
0.6500000000000001,0.7049180327868853,0.8947368421052632,0.5151515151515151,0.6538461538461539,0.9285714285714286
0.7000000000000002,0.6885245901639344,0.9375,0.45454545454545453,0.6122448979591837,0.9642857142857143
0.7500000000000002,0.5901639344262295,1.0,0.24242424242424243,0.3902439024390244,1.0
0.8000000000000002,0.5081967213114754,1.0,0.09090909090909091,0.16666666666666666,1.0
0.8500000000000002,0.47540983606557374,1.0,0.030303030303030304,0.058823529411764705,1.0
0.9000000000000002,0.45901639344262296,0.0,0.0,0.0,1.0
